model_data_global_parent_bvdid,filial_operating_revenue_max_eur_th
US941369354,7460746.478436
US250082609L,1614484.6041
US522055918,21851280.719099
US3511-112,914402.253747
US943207296,285774740.394503
JP9020001031109,73155110.634651
US129819458L,2033483.250293
US621763875,1763120.222479
US358253693L,750826.536062
US541708481,1508753.881788
GB00137013,3600487.757048
US350060624L,761747.599386
US365447345L,862983.906712
US371217623L,804389.372216
CA90001NC,14902972.943333
US800895227,8019356.314005
LULB8916,4770818.0
US043512838,1710503.352087
US120508262L,1078192.904328
US042695240,13121994.56292
US*Z00588884,1468301.253431
US271341991,13807583.274093
US262841711,2176470.198566
IT00811720580,136828763.295321
US293545196L,795151.353196
US355062779L,1745041.713502
US366120701L,804389.372216
US367656845L,804389.372216
US346976306L,804389.372216
US131432060,11463317.191054
US360698440,40225781.731675
DO11568SDQ,782416.191407
KY*4000000164759,1720420.851689
US042882273,1210854.966604
US131866329L,1104640.886028
JP4180001069484,2232261.863855
US149115868L,849538.092633
IE543654,24689440.006978
US942802192,3500458.286959
US*909071960,2130445.258069
US365268422L,878584.069841
US942203880,7993381.38307
US400603991L,804389.372216
IN30131FI,2764984.494239
US750289970,18777432.598157
US440607856,3334235.533825
US741677330,2499537.618621
US266691554L,1421177.642736
US348959429L,2663897.431266
US953359658,4535566.840927
US149118496L,1735745.827353
NL56532474,21630095.72292
US352038545L,781803.08794
US303853931L,804389.372216
US365617232L,803644.071941
US313273583L,804389.372216
US203717839,9263593.10254
US369247775L,804389.372216
US202480422,6698350.822613
US149209877L,1321020.697564
US464707224,2864340.632341
US592663954,7824359.757754
US*110158266456,770534.27311
US370003013L,804389.372216
FR342731973,19923007.006808
IE111471,8166628.680333
US138804114L,781803.08794
US261342272,2604129.65702
JP1010001008767,98765201.972789
IT00891030272,9420912.463049
US392513963L,804389.372216
US408570758L,804389.372216
US361581674L,1363165.075799
GB04586941,1802613.855992
US149118972L,1993337.283617
US043444218,1340284.723307
JP3180301014273,23333307.734957
IN30691FI,11597870.245203
US391506125,17594002.624001
US131026995,11515847.590972
BM38877R,2717655.807378
US366223325L,804389.372216
US370758014L,804389.372216
SE5560094178,12338193.557897
US378817922L,1015546.633334
US126254398L,1687606.285035
US954766827,1356688.078918
US127437195L,1078292.752062
US356315321L,2460532.188684
US*I00018557901,4945352.522754
US*B000114094,1002327.597689
US410300436L,804389.372216
US371411738L,804389.372216
US308769005L,890921.480133
US344215202L,1250526.503612
US406301036L,804389.372216
US330927079,12664945.251354
US313681853L,804389.372216
US222640650,37284903.152844
US911646860,529657573.789955
US222477875,1775318.684141
CAFEI1004166,10834471.927345
US392508347L,804389.372216
US289426160L,1721369.122745
US221918501,55395284.228487
US131211611L,2473280.766624
US164888562L,1875118.094483
DE6050002994,21850948.061583
US220790350,41472536.028061
US134151777,6813667.620435
IE607465,2837841.097739
DK10160669,1740424.685194
US348687779L,1089919.546924
NL60372958,176513883.492735
US349496828L,804389.372216
US329378003L,804389.372216
CA32520NC,6102096.237819
BR02916265000160,66209498.142434
US382730780,2736547.713386
US680551851,2050322.529785
US043523891,1535836.414808
USLEI759850,1117537.492683
US541701843,9173864.957587
CA32018NC,1597685.491679
US841291044,2251847.190309
US327177428L,2815558.112341
VG40062ZG,5177843.451338
US132646102,8016038.953733
US400880495L,804389.372216
US310595760,6808886.567091
US582480149,94072799.682138
US201480589,5428486.60674
US590940416,1298257.778029
US135416910,1162499.200575
CA274347995L,35764175.438027
US302046311L,844572.474805
JP8010401050387,29014301.024231
JP8010001034740,9382750.840557
US379908500L,804389.372216
US392754701L,804389.372216
FR403210032,42150225.735829
US311414921,3272483.760088
US270223495,1026687.06632
US359094164L,1173645.481357
US374349989L,804389.372216
US751825172,48643587.109519
US870617894,8860109.022999
US126712308L,1311645.107091
US136001113L,804753.128874
US258088739L,1979610.231107
KY*110321173408,1178762.786024
CA31283NC,8120606.756972
US352477140,1231197.627536
IT00079760328,68117090.877892
DK10403782,15662642.845167
US060495050,3009904.097383
US365294816L,804389.372216
US358176137L,804389.372216
US340253240,18490583.741917
US590739250,11068010.404585
US271605762,6556128.22592
DE7330170297,86689120.421947
US128990888L,1964186.203971
US149151582L,1011764.251815
US272220139,985156.11896
US650271219,1817195.497368
JP5010001034768,13820361.561566
GI90099,1141539.792192
US359454722L,804389.372216
US371957204L,804389.372216
US312254564L,1079741.517012
US410231510,14117399.843358
